
  1. setup                                          : etime=00:00:00.3    ctime=00:00:00.2    rss= 27.031 Mbyte     virtual= 16.836 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.734 Mbyte     virtual= 16.633 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.688 Mbyte     virtual= 16.633 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.105 Mbyte     virtual= 16.480 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.547 Mbyte     virtual= 16.633 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.734 Mbyte     virtual= 16.633 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.734 Mbyte     virtual= 16.633 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.734 Mbyte     virtual= 16.633 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.1    ctime=00:00:00.2    rss= 41.258 Mbyte     virtual= 31.590 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 41.258 Mbyte     virtual= 31.590 Mbyte     

  4. Frequency 10 GHz                               : etime=00:00:00.8    ctime=00:00:02.7    rss=135.367 Mbyte     virtual=129.438 Mbyte     
     1. Frequency 10 GHz                            : etime=00:00:00.8    ctime=00:00:02.7    rss=134.738 Mbyte     virtual=129.379 Mbyte     
        1. constructing matrix                      : etime=00:00:00.1    ctime=00:00:00.7    rss= 42.383 Mbyte     virtual= 32.434 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 41.816 Mbyte     virtual= 32.434 Mbyte     
           2. 3d                                    : etime=00:00:00.1    ctime=00:00:00.5    rss= 42.383 Mbyte     virtual= 32.434 Mbyte     
           3. 2d                                    : etime=00:00:00.0    ctime=00:00:00.2    rss= 42.383 Mbyte     virtual= 32.434 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:00.6    ctime=00:00:01.7    rss=132.313 Mbyte     virtual=126.555 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=132.965 Mbyte     virtual=127.293 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.0    ctime=00:00:00.1    rss=133.813 Mbyte     virtual=128.141 Mbyte     
        5. error estimation                         : etime=00:00:00.0    ctime=00:00:00.0    rss=134.395 Mbyte     virtual=129.348 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=135.367 Mbyte     virtual=129.438 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=134.848 Mbyte     virtual=129.438 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=135.164 Mbyte     virtual=129.438 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=135.164 Mbyte     virtual=129.438 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=135.176 Mbyte     virtual=129.438 Mbyte     

  1. setup                                          : etime=00:00:00.2    ctime=00:00:00.2    rss= 27.621 Mbyte     virtual= 17.457 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 27.348 Mbyte     virtual= 17.254 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 27.324 Mbyte     virtual= 17.254 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.820 Mbyte     virtual= 17.250 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.156 Mbyte     virtual= 17.254 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.348 Mbyte     virtual= 17.254 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.348 Mbyte     virtual= 17.254 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.348 Mbyte     virtual= 17.254 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.1    ctime=00:00:00.1    rss= 44.648 Mbyte     virtual= 36.074 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 44.652 Mbyte     virtual= 36.074 Mbyte     

  4. Frequency 10 GHz                               : etime=00:00:00.9    ctime=00:00:03.3    rss=154.547 Mbyte     virtual=149.785 Mbyte     
     1. Frequency 10 GHz                            : etime=00:00:00.9    ctime=00:00:03.3    rss=154.395 Mbyte     virtual=149.703 Mbyte     
        1. constructing matrix                      : etime=00:00:00.2    ctime=00:00:00.9    rss= 45.676 Mbyte     virtual= 36.945 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 45.676 Mbyte     virtual= 36.945 Mbyte     
           2. 3d                                    : etime=00:00:00.1    ctime=00:00:00.7    rss= 45.676 Mbyte     virtual= 36.945 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.2    rss= 45.676 Mbyte     virtual= 36.945 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:00.6    ctime=00:00:02.0    rss=151.605 Mbyte     virtual=146.195 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=152.375 Mbyte     virtual=146.965 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.0    ctime=00:00:00.1    rss=153.344 Mbyte     virtual=147.984 Mbyte     
        5. error estimation                         : etime=00:00:00.0    ctime=00:00:00.1    rss=153.977 Mbyte     virtual=149.465 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=154.547 Mbyte     virtual=149.785 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=154.547 Mbyte     virtual=149.785 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=154.547 Mbyte     virtual=149.785 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=154.547 Mbyte     virtual=149.785 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=154.547 Mbyte     virtual=149.785 Mbyte     

  1. setup                                          : etime=00:00:00.2    ctime=00:00:00.2    rss= 28.855 Mbyte     virtual= 18.508 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 28.344 Mbyte     virtual= 18.301 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 28.320 Mbyte     virtual= 18.301 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.641 Mbyte     virtual= 18.270 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.160 Mbyte     virtual= 18.293 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.344 Mbyte     virtual= 18.301 Mbyte     
